,City,Utility,Utility ID,Zip Code
0,Baltimore-Washington Intl AP,Baltimore Gas & Electric Co,286,21298
1,Harrisburg Intl AP,PPL Electric Utilities Corp,799,17177
2,Binghamton-Edwin A Link Field,New York State Elec & Gas Corp,562,13905
3,New York-J F Kennedy Intl AP,National Grid - New York,579,14592
4,Sacramento Metro AP,Sacramento Municipal Util Dist,1055,95899
5,Tucson Intl AP,Tucson Electric Power Co,1862,85641
6,Salt Lake City Intl AP,Rocky Mountain Power,737,84199
7,Los Angeles Intl AP,Southern California Edison Co,1228,90101
8,Hartford-Bradley Intl AP,Eversource Energy (Formerly Connecticut Light & Power Co),2250,6199
9,Flagstaff-Pulliam AP,Arizona Public Service Co,2885,86011
10,San Diego-Montgomery Field,San Diego Gas & Electric Co,1071,92199
11,Las Vegas-McCarran Intl AP,NV Energy - South (prev. Nevada Power),531,89199
12,Long Beach-Daugherty Field,Southern California Edison Co,1228,90899
13,Denver Intl AP,Xcel Energy - Colorado,913,80235
14,Rutland State AP,Green Mountain Power Corp,2825,5702
15,Concord Muni AP,Unitil Energy Systems,1870,3305
16,San Jose Intl AP,Pacific Gas & Electric Co,734,95196
17,Dover AFB,Delmarva Power,2376,19803
18,Honolulu Intl AP 911820,Hawaiian Electric Co Inc,1535,96850
19,Chicago-OHare Intl AP,Commonwealth Edison Co,2241,60151
20,Boston-Logan Intl AP,Eversource Energy (Formerly NSTAR Electric Company),2437,2298
21,White Plains-Westchester County AP,Consolidated Edison Co-NY Inc,2252,10610
22,Kahului AP 911900,Maui Electric Co Ltd,314,96733
